school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name,hire_date
Arkansas State,2019,13,8,5,0,,,-5.6,-2.9,30.1,34.2,Blake,Anderson,
Houston,2016,1,0,1,0,15,,5.4,10.1,30.8,21.7,Major,Applewhite,
Houston,2017,12,7,5,0,,,2.7,7.7,32.3,25.8,Major,Applewhite,
Houston,2018,13,8,5,0,,,-1.1,2.3,36.7,34.9,Major,Applewhite,
Utah State,1998,11,3,8,0,,,-16.4,-19,20.3,37.3,Dave,Arslanian,
Utah State,1999,11,4,7,0,,,-12.7,-11.6,23.6,33.5,Dave,Arslanian,
Akron,2019,12,0,12,0,,,-34.7,-29.8,7.7,35.3,Tom,Arth,2018-12-14T00:00:00.000Z
Rutgers,2016,12,2,10,0,,,-10.9,-14.9,17.3,29.9,Chris,Ash,
Rutgers,2017,12,4,8,0,,,-6.1,-5.5,23.3,29,Chris,Ash,
Rutgers,2018,12,1,11,0,,,-12.9,-12.3,15,28.5,Chris,Ash,
Rutgers,2019,4,1,3,0,,,-16.7,-14.6,17.4,31.8,Chris,Ash,
Nevada,2004,12,5,7,0,,,-16.1,-19,30.5,44,Chris,Ault,
Nevada,2005,12,9,3,0,,,-7.6,-6.5,28.4,34.9,Chris,Ault,
Nevada,2006,13,8,5,0,,,4.2,0.9,25.4,23.8,Chris,Ault,
Nevada,2007,13,6,7,0,,,-9.0,-4.2,31.5,35.3,Chris,Ault,
Nevada,2008,13,7,6,0,,,0.3,0.9,34,33,Chris,Ault,
Nevada,2009,13,8,5,0,,,0.9,0.5,35.6,34.3,Chris,Ault,
Nevada,2010,14,13,1,0,,11,13.0,10.8,37.6,26.5,Chris,Ault,
Nevada,2011,13,7,6,0,,,2.0,-0.4,30.4,28.7,Chris,Ault,
Nevada,2012,13,7,6,0,,,-2.4,-2,36.4,37.7,Chris,Ault,
Bowling Green,2014,14,8,6,0,,,-13.4,-5.4,27.7,33.5,Dino,Babers,
Bowling Green,2015,13,10,3,0,,,8.5,7.5,39.4,32.1,Dino,Babers,
Syracuse,2016,12,4,8,0,,,-6.9,-2.7,29.2,31.2,Dino,Babers,
Syracuse,2017,12,4,8,0,,,1.0,4,29.3,27.3,Dino,Babers,
Syracuse,2018,13,10,3,0,,,12.1,7.5,32.1,27.4,Dino,Babers,
Syracuse,2019,12,5,7,0,22,,-6.5,-3,24.5,29.6,Dino,Babers,
UTEP,1998,11,3,8,0,,,-11.1,-11.3,24.7,34.2,Charlie,Bailey,
UTEP,1999,12,5,7,0,,,-11.2,-9.5,31.5,38.6,Charlie,Bailey,
Rice,2007,12,3,9,0,,,-17.4,-14.4,28.3,41.4,David,Bailiff,
Rice,2008,13,10,3,0,,,1.6,4.8,40.5,35.1,David,Bailiff,
Rice,2009,12,2,10,0,,,-22.0,-26,15,39.2,David,Bailiff,
Rice,2010,12,4,8,0,,,-15.7,-16.6,23.6,40.6,David,Bailiff,
Rice,2011,12,4,8,0,,,-11.0,-12,19.6,33.7,David,Bailiff,
Rice,2012,13,7,6,0,,,-5.8,-7.6,25.6,34,David,Bailiff,
Rice,2013,14,10,4,0,,,-2.1,-1.5,24,26.1,David,Bailiff,
Rice,2014,13,8,5,0,,,-3.4,-3.1,27.9,29.8,David,Bailiff,
Rice,2015,12,5,7,0,,,-18.0,-14.6,24,37.9,David,Bailiff,
Rice,2016,12,3,9,0,,,-20.6,-16.5,22.8,38.6,David,Bailiff,
Rice,2017,12,1,11,0,,,-24.4,-23.6,19.2,40.9,David,Bailiff,
San José State,1998,12,4,8,0,,,-11.0,-9.7,29.6,36.9,Dave,Baldwin,
San José State,1999,10,3,7,0,,,-18.8,-18.1,34.2,45.9,Dave,Baldwin,
San José State,2000,12,7,5,0,,,-2.8,-1.4,36.9,37.5,Dave,Baldwin,
Louisiana,1999,11,2,9,0,,,-25.0,-33.3,18.3,44,Jerry,Baldwin,
Louisiana,2000,11,1,10,0,,,-24.3,-29.1,17.2,41.9,Jerry,Baldwin,
Louisiana,2001,11,3,8,0,,,-23.8,-29.1,22,44.4,Jerry,Baldwin,
Texas A&M,2017,1,0,1,0,,,5.4,9.4,33.1,25.2,Jeff,Banks,
New Mexico,2011,8,1,7,0,,,-26.3,-27.9,16.9,41.9,George,Barlow,
Northwestern,1998,12,3,9,0,,,-6.8,-9,24.2,32.3,Gary,Barnett,
Colorado,1999,12,7,5,0,15,,8.6,11.3,40.7,32.4,Gary,Barnett,
Colorado,2000,11,3,8,0,24,,5.4,10.1,34,25.6,Gary,Barnett,
Colorado,2001,13,10,3,0,,9,13.2,20.2,42.6,25.4,Gary,Barnett,
Colorado,2002,14,9,5,0,7,20,12.7,19.8,40,22.5,Gary,Barnett,
Colorado,2003,12,5,7,0,,,-0.1,2.6,37.7,35.3,Gary,Barnett,
Colorado,2004,13,8,5,0,,,3.9,7.8,32.9,27,Gary,Barnett,
Colorado,2005,12,7,5,0,,,5.8,11.7,27.8,16.1,Gary,Barnett,
Miami (OH),2013,7,0,7,0,,,-30.2,-29,10.2,38.8,Mike,Bath,
Virginia Tech,1998,12,9,3,0,,23,18.6,19.2,35.4,17.7,Frank,Beamer,
Virginia Tech,1999,12,11,1,0,13,2,24.5,28.2,45,19.4,Frank,Beamer,
Virginia Tech,2000,12,11,1,0,11,6,20.9,28.2,49.8,25.2,Frank,Beamer,
Virginia Tech,2001,12,8,4,0,9,18,16.9,19.2,36.2,19,Frank,Beamer,
Virginia Tech,2002,14,10,4,0,16,18,12.0,16.8,37.7,22.5,Frank,Beamer,
Virginia Tech,2003,13,8,5,0,9,,12.2,16,42.6,30,Frank,Beamer,
Virginia Tech,2004,13,10,3,0,,10,17.4,19.9,35.4,16.9,Frank,Beamer,
Virginia Tech,2005,13,11,2,0,8,7,22.0,25.5,35.6,10.1,Frank,Beamer,
Virginia Tech,2006,13,10,3,0,17,19,13.8,21,23.6,4.6,Frank,Beamer,
Virginia Tech,2007,14,11,3,0,9,9,15.1,19.3,27.5,10.4,Frank,Beamer,
Virginia Tech,2008,14,10,4,0,17,15,7.8,8.1,20.6,13.1,Frank,Beamer,
Virginia Tech,2009,13,10,3,0,7,10,23.1,27.8,36.6,11.1,Frank,Beamer,
Virginia Tech,2010,14,11,3,0,10,16,19.2,21.2,39.6,20,Frank,Beamer,
Virginia Tech,2011,14,11,3,0,13,21,7.7,15.4,33.5,17.3,Frank,Beamer,
Virginia Tech,2012,13,7,6,0,16,,2.8,12.7,27.8,14.8,Frank,Beamer,
Virginia Tech,2013,13,8,5,0,,,6.5,14.9,26,9.6,Frank,Beamer,
Virginia Tech,2014,13,7,6,0,,,6.9,7.8,25.7,17.2,Frank,Beamer,
Virginia Tech,2015,13,7,6,0,,,6.9,11.4,30.8,19.7,Frank,Beamer,
Kansas,2015,12,0,12,0,,,-18.8,-21.3,20.2,40.6,David,Beaty,
Kansas,2016,12,2,10,0,,,-15.7,-15.9,21,36,David,Beaty,
Kansas,2017,12,1,11,0,,,-17.4,-14.8,21.6,36.7,David,Beaty,
Kansas,2018,12,3,9,0,,,-1.2,-10,21.9,31.9,David,Beaty,
Toledo,2009,12,5,7,0,,,-15.0,-7.4,27.8,34.8,Tim,Beckman,
Toledo,2010,13,8,5,0,,,-6.8,-5.5,23.9,27.1,Tim,Beckman,
Illinois,2012,12,2,10,0,,,-16.5,-9.8,21.2,32.1,Tim,Beckman,
Illinois,2013,12,4,8,0,,,-3.4,-4,34.2,36.8,Tim,Beckman,
Illinois,2014,13,6,7,0,,,-4.0,0.4,28.3,27.9,Tim,Beckman,
UMass,2019,12,1,11,0,,,-40.6,-34.6,15.3,49.3,Walt,Bell,2018-12-03T00:00:00.000Z
Oregon,1998,12,8,4,0,,,13.4,16.8,46.3,33.9,Mike,Bellotti,
Oregon,1999,12,9,3,0,,19,8.1,12.4,40.3,30.5,Mike,Bellotti,
Oregon,2000,12,10,2,0,,7,14.1,16.1,37.7,23.3,Mike,Bellotti,
Oregon,2001,12,11,1,0,7,2,16.3,21,42.7,24.5,Mike,Bellotti,
Oregon,2002,13,7,6,0,15,,5.9,5.3,39.4,35.3,Mike,Bellotti,
Oregon,2003,13,8,5,0,,,4.5,7.9,36.2,30.2,Mike,Bellotti,
Oregon,2004,11,5,6,0,23,,6.4,3.7,32.6,30.4,Mike,Bellotti,
Oregon,2005,12,10,2,0,,12,16.8,18.1,35,16.9,Mike,Bellotti,
Oregon,2006,13,7,6,0,21,,7.8,11.2,33.3,21.5,Mike,Bellotti,
Oregon,2007,13,9,4,0,,23,20.8,23.1,41.2,19.7,Mike,Bellotti,
Oregon,2008,13,10,3,0,21,10,15.6,19.6,38.4,18.3,Mike,Bellotti,
SMU,2002,12,3,9,0,,,-22.0,-24.8,18,39.5,Phil,Bennett,
SMU,2003,12,0,12,0,,,-24.1,-27.8,12.8,37.7,Phil,Bennett,
SMU,2004,11,3,8,0,,,-17.7,-16.2,27.5,40.3,Phil,Bennett,
SMU,2005,11,5,6,0,,,-8.1,-13,16,29,Phil,Bennett,
SMU,2006,12,6,6,0,,,-7.8,-7.7,20.9,30.3,Phil,Bennett,
SMU,2007,12,1,11,0,,,-17.0,-13.4,28.9,43.2,Phil,Bennett,
Pittsburgh,2010,1,1,0,0,15,,8.4,11.3,29.7,18.7,Phil,Bennett,
Army,2000,11,1,10,0,,,-15.9,-17.3,25.4,39.7,Todd,Berry,
Army,2001,11,3,8,0,,,-16.7,-22.8,22.7,41.4,Todd,Berry,
Army,2002,12,1,11,0,,,-27.1,-29.2,23.8,45.9,Todd,Berry,
Army,2003,6,0,6,0,,,-24.5,-28.2,18.8,42.4,Todd,Berry,
Louisiana Monroe,2010,12,5,7,0,,,-14.5,-24.1,13.2,36.4,Todd,Berry,
Louisiana Monroe,2011,12,4,8,0,,,-9.0,-15.7,17.4,30.2,Todd,Berry,
Louisiana Monroe,2012,13,8,5,0,,,-1.8,-12,26.6,37.1,Todd,Berry,
Louisiana Monroe,2013,12,6,6,0,,,-13.1,-26.2,13.4,38.1,Todd,Berry,
Louisiana Monroe,2014,12,4,8,0,,,-12.6,-10,18.4,28.8,Todd,Berry,
Louisiana Monroe,2015,12,2,11,0,,,-25.0,-14.7,18.4,32.9,Todd,Berry,
Louisiana Tech,1999,11,8,3,0,,,2.7,5.4,39.9,35.7,Jack,Bicknell,
Louisiana Tech,2000,12,3,9,0,,,-11.7,-14.6,29.2,39.9,Jack,Bicknell,
Louisiana Tech,2001,12,7,5,0,,,-4.4,-4.4,39,41,Jack,Bicknell,
Louisiana Tech,2002,12,4,8,0,,,-14.0,-14.8,32,42.2,Jack,Bicknell,
Louisiana Tech,2003,12,5,7,0,,,-9.2,-6.8,33,38,Jack,Bicknell,
Louisiana Tech,2004,12,6,6,0,,,-3.2,3.5,36.2,34.2,Jack,Bicknell,
Louisiana Tech,2005,11,7,4,0,,,-5.3,-6,23.4,29.4,Jack,Bicknell,
Louisiana Tech,2006,13,3,10,0,,,-23.4,-22.2,18.9,39.7,Jack,Bicknell,
Wisconsin,2006,13,12,1,0,,7,14.3,19.1,28.9,11.2,Bret,Bielema,
Wisconsin,2007,13,9,4,0,7,24,7.7,10.4,35.9,26.1,Bret,Bielema,
Wisconsin,2008,13,7,6,0,13,,4.1,10.5,31.3,22,Bret,Bielema,
Wisconsin,2009,13,10,3,0,,16,8.4,16.9,35.5,19.4,Bret,Bielema,
Wisconsin,2010,13,11,2,0,12,7,15.5,23.1,42.1,20.7,Bret,Bielema,
Wisconsin,2011,14,11,3,0,11,10,23.1,26.1,45.9,21.2,Bret,Bielema,
Wisconsin,2012,13,8,5,0,12,,12.1,14.5,31.5,15.9,Bret,Bielema,
Arkansas,2013,12,3,9,0,,,-1.8,1.5,30,30.6,Bret,Bielema,
Arkansas,2014,13,7,6,0,,,20.4,12.2,32.4,19.4,Bret,Bielema,
Arkansas,2015,13,8,5,0,18,,15.1,19.2,46.6,28,Bret,Bielema,
Arkansas,2016,13,7,6,0,,,4.2,7.9,36.2,28.9,Bret,Bielema,
Arkansas,2017,12,4,8,0,,,-4.7,2.1,34.1,31.8,Bret,Bielema,
Bowling Green,1998,11,5,6,0,,,-5.2,4.8,35.4,32.4,Gary,Blackney,
Bowling Green,1999,11,5,6,0,,,-11.4,-11.8,29,37.9,Gary,Blackney,
Bowling Green,2000,11,2,9,0,,,-15.4,-15,18.6,32.4,Gary,Blackney,
East Carolina,2018,1,0,1,0,,,-15.7,-14.9,18.3,34.2,David,Blackwell,
Oklahoma,1998,11,5,6,0,,,1.4,-1.1,22,23.1,John,Blake,
Troy,2001,11,7,4,0,,,-5.9,1.4,31.2,30.7,Larry,Blakeney,
Troy,2002,12,4,8,0,,,-15.0,-18.9,14.2,32.7,Larry,Blakeney,
Troy,2003,12,6,6,0,,,-9.9,-6.2,21,27.1,Larry,Blakeney,
Troy,2004,12,7,5,0,,,-0.8,4.6,26.3,22.7,Larry,Blakeney,
Troy,2005,11,4,7,0,,,-23.1,-17.2,8.7,26,Larry,Blakeney,
Troy,2006,13,8,5,0,,,-9.1,-11.5,16,27.7,Larry,Blakeney,
Troy,2007,12,8,4,0,,,6.6,-2.4,26.2,29.9,Larry,Blakeney,
Troy,2008,13,8,5,0,,,0.1,5,27.8,22.6,Larry,Blakeney,
Troy,2009,13,9,4,0,,,-0.2,0.5,31.3,31.6,Larry,Blakeney,
Troy,2010,13,8,5,0,,,-5.4,-4.4,27.8,32.7,Larry,Blakeney,
Troy,2011,12,3,9,0,,,-18.1,-18.5,19.8,37.3,Larry,Blakeney,
Troy,2012,12,5,7,0,,,-5.5,-3.5,32,35.7,Larry,Blakeney,
Troy,2013,12,6,6,0,,,-11.9,-14.5,29.1,43.8,Larry,Blakeney,
Troy,2014,12,3,9,0,,,-19.3,-15.9,22.4,37.5,Larry,Blakeney,
Tulsa,2011,13,8,5,0,,,5.5,2.5,29.8,27.3,Bill,Blankenship,
Tulsa,2012,14,11,3,0,,,4.6,2.6,25.7,22.4,Bill,Blankenship,
Tulsa,2013,12,3,9,0,,,-15.4,-18.7,12.9,31.6,Bill,Blankenship,
Tulsa,2014,12,2,10,0,,,-18.3,-15.8,23.6,37.7,Bill,Blankenship,
Rice,2018,13,2,11,0,,,-24.0,-26.4,15,42.5,Mike,Bloomgren,2017-12-06T00:00:00.000Z
Rice,2019,12,3,9,0,,,-13.5,-18,15.1,33.2,Mike,Bloomgren,2017-12-06T00:00:00.000Z
Colorado State,2015,13,7,6,0,,,-8.5,0.5,29.4,30.2,Mike,Bobo,
Colorado State,2016,13,7,6,0,,,1.2,0.8,33.5,34,Mike,Bobo,
Colorado State,2017,13,7,6,0,,,-2.6,3.9,34.6,32.7,Mike,Bobo,
Colorado State,2018,12,3,9,0,,,-14.9,-10.3,27.6,36.7,Mike,Bobo,
Colorado State,2019,12,4,8,0,,,-9.9,-3.9,26.1,30.1,Mike,Bobo,
Wyoming,2014,12,4,8,0,,,-11.2,-14,20,34.1,Craig,Bohl,2013-12-08T00:00:00.000Z
Wyoming,2015,12,2,10,0,,,-18.9,-16.7,22.9,39.7,Craig,Bohl,2013-12-08T00:00:00.000Z
Wyoming,2016,14,8,6,0,,,-1.9,-6.9,30.4,37.5,Craig,Bohl,2013-12-08T00:00:00.000Z
Wyoming,2017,13,8,5,0,,,-2.3,-2.5,19.7,23.1,Craig,Bohl,2013-12-08T00:00:00.000Z
Wyoming,2018,12,6,6,0,,,-2.4,1.9,25.1,23.7,Craig,Bohl,2013-12-08T00:00:00.000Z
Wyoming,2019,13,8,5,0,,,2.5,-1.1,20.5,21.7,Craig,Bohl,2013-12-08T00:00:00.000Z
Central Michigan,2015,13,7,6,0,,,-0.2,-3.1,26.4,27.2,John,Bonamego,
Central Michigan,2016,13,6,7,0,,,-9.1,-6.1,27.6,31.4,John,Bonamego,
Central Michigan,2017,13,8,5,0,,,-5.6,-8.6,21.4,28.2,John,Bonamego,
Central Michigan,2018,12,1,11,0,,,-18.9,-20,9,28.7,John,Bonamego,
Florida State,1998,13,11,2,0,2,3,24.7,29,39.8,11.2,Bobby,Bowden,
Florida State,1999,12,12,0,0,1,1,28.6,32.6,47.1,17.4,Bobby,Bowden,
Florida State,2000,13,11,2,0,2,5,29.2,32.9,45,13.1,Bobby,Bowden,
Florida State,2001,12,8,4,0,6,15,16.1,20.8,44.4,26.9,Bobby,Bowden,
Florida State,2002,14,9,5,0,3,21,17.3,23.7,42.1,20.2,Bobby,Bowden,
Florida State,2003,13,10,3,0,13,11,21.3,26,41.1,17.2,Bobby,Bowden,
Florida State,2004,12,9,3,0,5,15,17.0,20.2,32.7,13.4,Bobby,Bowden,
Florida State,2005,13,8,5,0,14,23,10.0,5.4,23.7,18.2,Bobby,Bowden,
Florida State,2006,13,7,6,0,11,,7.1,11.9,25.5,13.9,Bobby,Bowden,
Florida State,2007,13,7,6,0,19,,4.6,9.6,25.9,17.5,Bobby,Bowden,
Florida State,2008,13,9,4,0,,21,12.9,18.7,33.8,17.7,Bobby,Bowden,
Florida State,2009,13,7,6,0,18,,8.0,8.8,38.5,30.6,Bobby,Bowden,
Auburn,1998,6,1,5,0,25,,2.5,7.4,24.9,18.4,Terry,Bowden,
Akron,2012,12,1,11,0,,,-21.6,-19.5,20,39,Terry,Bowden,
Akron,2013,12,5,7,0,,,-13.5,-15.3,17.9,30.9,Terry,Bowden,
Akron,2014,12,5,7,0,,,-14.0,-9.4,18.9,28.1,Terry,Bowden,
Akron,2015,13,8,5,0,,,-5.4,-0.8,24.8,25.9,Terry,Bowden,
Akron,2016,12,5,7,0,,,-11.6,-5.6,22.3,28.2,Terry,Bowden,
Akron,2017,14,7,7,0,,,-8.9,-17.6,24.1,39.6,Terry,Bowden,
Akron,2018,12,4,8,0,,,-14.5,-19.3,11.9,31,Terry,Bowden,
Tulane,1998,11,11,0,0,,7,12.2,15.4,47.1,35.6,Tommy,Bowden,
Clemson,1999,12,6,6,0,,,12.5,16,35.9,22.1,Tommy,Bowden,
Clemson,2000,12,9,3,0,17,16,12.9,15.7,41.1,28.7,Tommy,Bowden,
Clemson,2001,12,7,5,0,19,,5.5,7.5,39.3,33.9,Tommy,Bowden,
Clemson,2002,13,7,6,0,,,3.3,7.4,34.7,29.4,Tommy,Bowden,
Clemson,2003,13,9,4,0,,22,14.5,19.3,37.6,19.8,Tommy,Bowden,
Clemson,2004,11,6,5,0,15,,6.7,7.1,28.6,22.7,Tommy,Bowden,
Clemson,2005,12,8,4,0,,21,11.0,12.9,31.1,18.2,Tommy,Bowden,
Clemson,2006,13,8,5,0,18,,11.4,16.7,31.5,13.7,Tommy,Bowden,
Clemson,2007,13,9,4,0,,21,14.6,16.2,31.6,15.2,Tommy,Bowden,
Clemson,2008,6,3,3,0,9,,8.4,12.8,27,14.2,Tommy,Bowden,
Southern Mississippi,1998,12,7,5,0,21,,8.8,12.4,36.9,26.4,Jeff,Bower,
Southern Mississippi,1999,12,9,3,0,,14,13.0,19.8,35.2,16.9,Jeff,Bower,
Southern Mississippi,2000,12,8,4,0,23,,8.0,12.2,31.5,20.2,Jeff,Bower,
Southern Mississippi,2001,11,6,5,0,,,4.1,3.2,26.8,24.5,Jeff,Bower,
Southern Mississippi,2002,13,7,6,0,,,-0.9,4,24.5,21.1,Jeff,Bower,
Southern Mississippi,2003,13,9,4,0,,,2.1,7.6,27.4,20.5,Jeff,Bower,
Southern Mississippi,2004,12,7,5,0,,,-1.6,-0.7,30.4,31.8,Jeff,Bower,
Southern Mississippi,2005,12,7,5,0,,,0.2,1.1,27.9,26.8,Jeff,Bower,
Southern Mississippi,2006,14,9,5,0,,,2.1,-0.3,23.3,23.1,Jeff,Bower,
Southern Mississippi,2007,13,7,6,0,,,-2.7,-0.5,26.9,28.1,Jeff,Bower,
Bowling Green,2003,14,11,3,0,,23,4.1,11.3,36.8,27.7,Gregg,Brandon,
Bowling Green,2004,12,9,3,0,,,7.1,11.9,45.9,36.7,Gregg,Brandon,
Bowling Green,2005,11,6,5,0,,,-3.4,-0.9,28.8,29.8,Gregg,Brandon,
Bowling Green,2006,12,4,8,0,,,-16.8,-14.1,17.2,28.7,Gregg,Brandon,
Bowling Green,2007,13,8,5,0,,,-9.1,-3.8,31.2,35.7,Gregg,Brandon,
Bowling Green,2008,12,6,6,0,,,-1.7,2.4,29.2,25.7,Gregg,Brandon,
San José State,2017,13,2,11,0,,,-26.7,-20,15.2,37.5,Brent,Brennan,2016-12-07T00:00:00.000Z
San José State,2018,12,1,11,0,,,-14.1,-17.1,17.3,34.7,Brent,Brennan,2016-12-07T00:00:00.000Z
San José State,2019,12,5,7,0,,,-7.5,-7.2,29.6,36.7,Brent,Brennan,2016-12-07T00:00:00.000Z
Minnesota,2007,12,1,11,0,,,-9.3,-7.6,30.6,38.8,Tim,Brewster,
Minnesota,2008,13,7,6,0,,,0.4,3,26.8,25,Tim,Brewster,
Minnesota,2009,13,6,7,0,,,-0.1,0.3,22.1,22.5,Tim,Brewster,
Minnesota,2010,7,1,6,0,,,-4.7,-10.4,25.1,33.6,Tim,Brewster,
Houston,2003,13,7,6,0,,,-6.9,-8.5,39.4,43.3,Art,Briles,
Houston,2004,11,3,8,0,,,-9.1,-6.3,29.8,35,Art,Briles,
Houston,2005,12,6,6,0,,,-5.4,-1,28.6,29.6,Art,Briles,
Houston,2006,14,10,4,0,,,4.6,7.6,33.9,25.2,Art,Briles,
Houston,2007,12,8,4,0,,,-3.7,-4.7,30.9,34.2,Art,Briles,
Baylor,2008,12,4,8,0,,,3.2,4,32.3,27.4,Art,Briles,
Baylor,2009,12,4,8,0,,,-4.7,-3.6,22.7,25.6,Art,Briles,
Baylor,2010,13,7,6,0,,,-0.1,4.6,34.9,29.5,Art,Briles,
Baylor,2011,13,10,3,0,,13,12.6,10.9,47,35.5,Art,Briles,
Baylor,2012,13,8,5,0,,,14.4,11,45.2,33.3,Art,Briles,
Baylor,2013,13,11,2,0,,13,22.8,20.4,41,21,Art,Briles,
Baylor,2014,13,11,2,0,10,7,21.1,23.9,43,19.5,Art,Briles,
Baylor,2015,13,10,3,0,4,13,17.8,19.5,45.1,24.1,Art,Briles,
Army,2007,12,3,9,0,,,-16.2,-28.4,7.3,35.3,Stan,Brock,
Army,2008,12,3,9,0,,,-12.8,-20.3,10.2,30.4,Stan,Brock,
