year,school,talent
2019,Northern Arizona,35.00
2019,South Carolina State,32.50
2019,Charleston Southern,32.36
2019,Portland State,30.88
2019,Maine,30.23
2019,Alcorn State,29.54
2019,Arkansas-Pine Bluff,29.07
2019,Cal Poly,28.91
2019,Princeton,27.29
2019,Robert Morris,26.82
2019,Houston Baptist,26.80
2019,Eastern Illinois,24.67
2019,Indiana State,24.51
2019,Furman,24.31
2019,Morgan State,23.32
2019,Elon,18.77
2019,Sacramento State,18.35
2019,Wagner,17.91
2019,Jacksonville,17.49
2019,South Dakota State,17.26
2019,Monmouth,15.76
2019,Rhode Island,15.55
2019,Delaware State,15.41
2019,Sacred Heart,15.08
2019,Eastern Washington,14.80
2019,Gardner-Webb,14.72
2019,Lehigh,13.90
2019,Alabama A&M,13.54
2019,Northern Colorado,13.41
2019,North Dakota,13.24
2019,St Francis (PA),13.03
2019,Mercer,12.14
2019,Butler,11.61
2019,Drake,11.10
2019,Brown,9.44
2019,Central Connecticut,8.93
2019,Western Carolina,8.58
2019,Wofford,7.83
2019,Holy Cross,7.31
2019,Georgetown,6.66
2019,Mississippi Valley State,6.66
2019,Bryant,6.30
